# Group	 Points	 X-coord	 Y-coord	 Z-coord
1	1	0.2553	0	0
1	2	0.255069	0.000045	0
1	3	0.254838	0.000089	0
1	4	0.254607	0.000133	0
1	5	0.254376	0.000177	0
1	6	0.254145	0.00022	0
1	7	0.253914	0.000263	0
1	8	0.253684	0.000306	0
1	9	0.253453	0.000349	0
1	10	0.253222	0.000391	0
1	11	0.252991	0.000433	0
1	12	0.25276	0.000475	0
1	13	0.252529	0.000517	0
1	14	0.252298	0.000558	0
1	15	0.252067	0.000599	0
1	16	0.251836	0.00064	0
1	17	0.251605	0.000681	0
1	18	0.251374	0.000721	0
1	19	0.251143	0.000761	0
1	20	0.250912	0.000801	0
1	21	0.250682	0.00084	0
1	22	0.250451	0.00088	0
1	23	0.25022	0.000919	0
1	24	0.249989	0.000958	0
1	25	0.249758	0.000996	0
1	26	0.249527	0.001035	0
1	27	0.249296	0.001073	0
1	28	0.249065	0.001111	0
1	29	0.248834	0.001148	0
1	30	0.248603	0.001186	0
1	31	0.248372	0.001223	0
1	32	0.248141	0.00126	0
1	33	0.24791	0.001297	0
1	34	0.247679	0.001333	0
1	35	0.247449	0.001369	0
1	36	0.247218	0.001406	0
1	37	0.246987	0.001441	0
1	38	0.246756	0.001477	0
1	39	0.246525	0.001512	0
1	40	0.246294	0.001548	0
1	41	0.246063	0.001583	0
1	42	0.245832	0.001617	0
1	43	0.245601	0.001652	0
1	44	0.24537	0.001686	0
1	45	0.245139	0.00172	0
1	46	0.244908	0.001754	0
1	47	0.244677	0.001788	0
1	48	0.244447	0.001821	0
1	49	0.244216	0.001854	0
1	50	0.243985	0.001887	0
1	51	0.243754	0.00192	0
1	52	0.243523	0.001953	0
1	53	0.243292	0.001985	0
1	54	0.243061	0.002017	0
1	55	0.24283	0.002049	0
1	56	0.242599	0.002081	0
1	57	0.242368	0.002112	0
1	58	0.242137	0.002143	0
1	59	0.241906	0.002174	0
1	60	0.241675	0.002205	0
1	61	0.241445	0.002236	0
1	62	0.241214	0.002266	0
1	63	0.240983	0.002296	0
1	64	0.240752	0.002326	0
1	65	0.240521	0.002355	0
1	66	0.24029	0.002385	0
1	67	0.240059	0.002414	0
1	68	0.239828	0.002443	0
1	69	0.239597	0.002471	0
1	70	0.239366	0.0025	0
1	71	0.239135	0.002528	0
1	72	0.238904	0.002556	0
1	73	0.238673	0.002584	0
1	74	0.238443	0.002611	0
1	75	0.238212	0.002638	0
1	76	0.237981	0.002665	0
1	77	0.23775	0.002692	0
1	78	0.237519	0.002719	0
1	79	0.237288	0.002745	0
1	80	0.237057	0.002771	0
1	81	0.236826	0.002796	0
1	82	0.236595	0.002822	0
1	83	0.236364	0.002847	0
1	84	0.236133	0.002872	0
1	85	0.235902	0.002896	0
1	86	0.235671	0.002921	0
1	87	0.23544	0.002945	0
1	88	0.23521	0.002968	0
1	89	0.234979	0.002992	0
1	90	0.234748	0.003015	0
1	91	0.234517	0.003038	0
1	92	0.234286	0.00306	0
1	93	0.234055	0.003082	0
1	94	0.233824	0.003104	0
1	95	0.233593	0.003126	0
1	96	0.233362	0.003147	0
1	97	0.233131	0.003168	0
1	98	0.2329	0.003189	0
1	99	0.232669	0.003209	0
1	100	0.232438	0.003229	0
1	101	0.232208	0.003249	0
1	102	0.231977	0.003268	0
1	103	0.231746	0.003287	0
1	104	0.231515	0.003305	0
1	105	0.231284	0.003324	0
1	106	0.231053	0.003342	0
1	107	0.230822	0.003359	0
1	108	0.230591	0.003376	0
1	109	0.23036	0.003393	0
1	110	0.230129	0.003409	0
1	111	0.229898	0.003425	0
1	112	0.229667	0.00344	0
1	113	0.229436	0.003456	0
1	114	0.229206	0.00347	0
1	115	0.228975	0.003484	0
1	116	0.228744	0.003498	0
1	117	0.228513	0.003512	0
1	118	0.228282	0.003525	0
1	119	0.228051	0.003537	0
1	120	0.22782	0.003549	0
1	121	0.227589	0.00356	0
1	122	0.227358	0.003572	0
1	123	0.227127	0.003582	0
1	124	0.226896	0.003592	0
1	125	0.226665	0.003602	0
1	126	0.226434	0.003611	0
1	127	0.226203	0.003619	0
1	128	0.225973	0.003627	0
1	129	0.225742	0.003635	0
1	130	0.225511	0.003641	0
1	131	0.22528	0.003648	0
1	132	0.225049	0.003653	0
1	133	0.224818	0.003659	0
1	134	0.224587	0.003663	0
1	135	0.224356	0.003667	0
1	136	0.224125	0.00367	0
1	137	0.223894	0.003673	0
1	138	0.223663	0.003675	0
1	139	0.223432	0.003676	0
1	140	0.223201	0.003677	0
1	141	0.222971	0.003677	0
1	142	0.22274	0.003676	0
1	143	0.222509	0.003674	0
1	144	0.222278	0.003672	0
1	145	0.222047	0.003669	0
1	146	0.221816	0.003665	0
1	147	0.221585	0.003661	0
1	148	0.221354	0.003655	0
1	149	0.221123	0.003649	0
1	150	0.220892	0.003642	0
1	151	0.220661	0.003634	0
1	152	0.22043	0.003625	0
1	153	0.220199	0.003615	0
1	154	0.219969	0.003605	0
1	155	0.219738	0.003593	0
1	156	0.219507	0.00358	0
1	157	0.219276	0.003566	0
1	158	0.219045	0.003552	0
1	159	0.218814	0.003536	0
1	160	0.218583	0.003519	0
1	161	0.218352	0.003501	0
1	162	0.218121	0.003482	0
1	163	0.21789	0.003461	0
1	164	0.217659	0.003439	0
1	165	0.217428	0.003416	0
1	166	0.217197	0.003392	0
1	167	0.216967	0.003366	0
1	168	0.216736	0.003339	0
1	169	0.216505	0.00331	0
1	170	0.216274	0.00328	0
1	171	0.216043	0.003248	0
1	172	0.215812	0.003214	0
1	173	0.215581	0.003179	0
1	174	0.21535	0.003142	0
1	175	0.215119	0.003103	0
1	176	0.214888	0.003061	0
1	177	0.214657	0.003018	0
1	178	0.214426	0.002973	0
1	179	0.214195	0.002925	0
1	180	0.213964	0.002874	0
1	181	0.213734	0.002821	0
1	182	0.213503	0.002765	0
1	183	0.213272	0.002706	0
1	184	0.213041	0.002644	0
1	185	0.21281	0.002578	0
1	186	0.212579	0.002509	0
1	187	0.212348	0.002435	0
1	188	0.212117	0.002356	0
1	189	0.211886	0.002272	0
1	190	0.211655	0.002183	0
1	191	0.211424	0.002086	0
1	192	0.211193	0.001982	0
1	193	0.210962	0.001869	0
1	194	0.210732	0.001744	0
1	195	0.210501	0.001606	0
1	196	0.208075	0.002778	0
1	197	0.207948	0.002509	0
1	198	0.207821	0.003385	0
1	199	0.207694	0.003497	0
1	200	0.207566	0.00361	0
1	201	0.207439	0.003596	0
1	202	0.207312	0.003581	0
1	203	0.207185	0.003567	0
1	204	0.207058	0.00368	0
1	205	0.206931	0.003793	0
1	206	0.206804	0.003778	0
1	207	0.206677	0.003891	0
1	208	0.20655	0.004004	0
1	209	0.206423	0.00399	0
1	210	0.206295	0.003976	0
1	211	0.206168	0.004089	0
1	212	0.206041	0.004964	0
1	213	0.205914	0.005077	0
1	214	0.205787	0.005317	0
1	215	0.20566	0.00543	0
1	216	0.205533	0.005543	0
1	217	0.205406	0.005529	0
1	218	0.205279	0.005769	0
1	219	0.205151	0.005882	0
1	220	0.205024	0.005996	0
1	221	0.204897	0.005982	0
1	222	0.20477	0.006095	0
1	223	0.204643	0.006208	0
1	224	0.204516	0.006194	0
1	225	0.204389	0.00618	0
1	226	0.204262	0.006166	0
1	227	0.204135	0.006152	0
1	228	0.204007	0.006139	0
1	229	0.20388	0.006125	0
1	230	0.203753	0.006111	0
1	231	0.203626	0.006224	0
1	232	0.203499	0.006083	0
1	233	0.203372	0.006324	0
1	234	0.203245	0.006437	0
1	235	0.203118	0.006551	0
1	236	0.202991	0.006537	0
1	237	0.202864	0.006523	0
1	238	0.202736	0.007145	0
1	239	0.202609	0.007005	0
1	240	0.202482	0.007245	0
1	241	0.202355	0.007359	0
